City,Point of Interest,Review,Adventure & Outdoors,Spiritual,Nature & Retreat,Isolated or Hippie,Heritage,Travel & Learn,Social Tourism (Volunteer & Travel),Nightlife & Events,Shopping,Compound score
Rishikesh,Kunjapuri Devi Temple,look forward visit kunjapuri mandir read import hindu religion hour drive rishikesh step templ templ beauti panoram view himalaya awe inspir medit sunshin compani local monkey never forgotten,0,1,1,0,1,0,0,0,0,0.58475
Agra,Agra Fort,beauti piec engin design archiitectur masonari work fantast fort inbuilt palac ambienc workmanship design etc centuri simpli qwesom remark sculptur work engrav quit extra ordinari moghul rich tast live life choic extra ordinari fantast rich cultur heritag essenc sculptur design worth watch monument,0,0,1,0,1,0,0,0,0,0.9220999999999999
Mussoorie,Lal Tibba,weather clear view amaz well worth trip notic tat turn around go back way came keep go road figur bring back place great view drive around stop sister bazaar handicraft,0,0,1,0,0,0,0,0,0,0.9088
Agra,Agra Fort,almost pass visit agra fort fortun decid visit magnific fort hire tour guid provid us wealth inform point varieti featur would recogn visit red fort delhi found agra fort impress visit agra trip fort absolut necessari aspect trip time allow spent approxim hour fort,0,0,1,0,1,0,0,0,0,0.9417
Agra,Tomb of Itimad-ud-Daulah,build truli work genius inlay work symmetri make beauti build india miss mani visitor agra would high recommend make time see it,0,0,0,0,1,0,0,0,0,0.61315
Pushkar,Brahma Temple,pushkar largest templ dedic lord brahma good spend time sit along ghat take dive atmospher much qualiti shop locat templ ghat must see destin,0,1,1,0,1,0,0,0,0,0.7202
Rishikesh,Lakshman Jhula,laksham jhula offer great view mountain river ganga love place around lakshman jhula better ram jhula,0,0,1,0,0,0,0,0,0,0.9521
Agra,Wildlife SOS,found sloth bear eleph sanctuari accid heart rend imagin cruelti inspir see done chang cultur hard sell commit peopl tri best help anim wish could go back volunt dont go expect show tourist attract genuin rescu centr work hard littl resourc,0,0,1,0,0,0,0,0,0,0.9550000000000001
Rishikesh,Kunjapuri Devi Temple,locat superb landscap himalayan beauti worth go even though take minut rishikesh need safe driver mountain,0,0,1,0,1,0,0,0,0,0.9179999999999999
Rishikesh,The Beatles Ashram,left beatl ashram ruin place appar shut govt reopen public year back fair big place take around hour cover load kutir medic chamber ruin structur lot graffiti work come check apart much here,0,1,1,0,0,0,0,0,0,0.1285
Agra,Sheesh Mahal,sheeshmah beauti fall love work histori beauti place steal heart must visit,0,0,1,0,1,0,0,0,0,0.625
Agra,Tomb of Itimad-ud-Daulah,tomb itimad ud daulah given monick babi taj construct year actual taj built definit worth short visit especi come agra expressway come rout,0,0,0,0,1,0,0,0,0,0.61315
Mussoorie,Camel's Back Road,good place mountain natur lover went trekk fun would recommend trekk lover visit mussori go here,0,0,1,0,0,0,0,0,0,0.973
Pushkar,Pushkar Lake,perm shanti peach full p lase sun set cafe well situat bank lake pushkar popular known pushkar sarovar famili run restarunt start year samll cafe restro becom best famous memor place pushkar town sun set cafe serv best food town various cusien includ english french italian isralian indian,0,1,1,0,1,0,0,0,0,0.96155
Agra,Agra Fort,far favourit home shah jahan design taj mahal simplic genius went build,0,0,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,time get far view taj mahal visit taj,0,0,1,0,1,0,0,0,0,0.5
Mussoorie,Lal Tibba,landour combin beauti quaint charm sophist view hill snow peak fog pine natur flaunt beauti pamper soul,0,0,1,0,0,0,0,0,0,0.70095
Agra,Tomb of Itimad-ud-Daulah,babi taj well worth visit agra craftsmanship amaz beauti put togeth much quieter attract agra therefor even better due peac quiet offer whilst much smaller taj still great attract go see take rucksack site food,0,0,0,0,1,0,0,0,0,0.96625
Agra,Agra Fort,women sport bra travel perspir like men women wear dri fit cloth,0,0,1,0,1,0,0,0,0,0.8062
Agra,Tomb of Itimad-ud-Daulah,monument realli master piec art recommend place tourist taj mahal idea abut world famous monument taj mahal,0,0,1,0,1,0,0,0,0,0.6806
Pushkar,Pushkar Lake,greedi maharaj perform small pooja money perform sort pooja pushkar lake goal money money money deni give money ask get angri ask rs agre rs sudden behaviour chang got angri said get reciept give reciept rs pleas dont get involv maharaj,0,1,1,0,1,0,0,0,0,0.5
Agra,Agra Fort,great place spend hour amaz histori architectur offer glimps past,0,0,1,0,1,0,0,0,0,0.81245
Agra,Jahangir Mahal,previous review guid realli enhanc experi combin outstand craftmanship work marbl stone coupl guid detail histori built magic sure hurri need stop admir detail workmanship,0,0,0,0,1,0,0,0,0,0.5129
Mussoorie,Kempty Falls,kid adult realli enjoy fall overal good experi roadsid food cheap good,0,0,1,0,0,0,0,0,0,0.9200999999999999
Agra,Agra Fort,time get far view taj mahal visit taj,0,0,1,0,1,0,0,0,0,0.5
Agra,Shahin Arts,art centr interest demonstr inlaid work done semi precious stone marbl numer room sell differ good made area leather work cloth etc well staf everyth expens worth money ask given drink arriv lot tour group go around,0,0,0,0,1,0,0,0,0,0.9559
Mussoorie,Kempty Falls,amaz place,0,0,1,0,0,0,0,0,0,0.5
Agra,Agra Fort,suspect thus place would better known anoth build town impress fort use varieti purpos year spent pleasant minut wander round arriv short open time heat issu,0,0,1,0,1,0,0,0,0,0.89225
Agra,Mehtab Bagh,went friday taj close prayer locat provid quit good unhind view taj river great photograph garden worth stroll around,0,0,1,0,1,0,0,0,0,0.9179999999999999
Agra,Tomb of Itimad-ud-Daulah,icon build first muslim monument built complet marbl immens use inlay work karan sachan walk tour help us understand gradual develop islam build india anoth love tour babi taj,0,0,0,0,1,0,0,0,0,0.89225
Agra,Jama Masjid (Agra),enjoy hassl men mosqu,0,1,0,0,1,0,0,0,0,0.74695
Rishikesh,Triveni Ghat,religi must rishikesh crowd went zostel activ coordin religi,0,1,1,0,1,0,0,0,0,0.5
